symbol,name,pivot_forming,pivot_days,pivot_range_pct,tight_closes,pivot_high,in_base,base_type,resistance,distance_pct,buy_point_date,volume_at_pivot,trend_template_score,rs_ratio,quality_score,buyable
FOLD,,True,10,0.49,True,14.37,True,Cup completion cheat,14.38,0.35,,below,8,1.75,96.5,True
EXAS,,True,10,0.51,True,103.67,True,Darvas box,103.67,0.41,,below,8,2.06,96.22,True
DBRG,,True,10,0.78,True,15.47,True,Cup w/ handle,15.47,0.39,,below,8,1.26,94.93,True
PKST,,True,10,1.38,True,20.97,True,Darvas box,20.97,0.52,,below,8,1.57,91.54,True
RAPT,,True,10,0.47,True,57.98,True,Darvas box,57.98,0.03,,above,8,4.64,87.56,True
FRGE,,True,10,0.88,True,44.85,True,Cup completion cheat,44.88,0.16,,above,8,2.22,85.12,True
GLDD,,True,10,0.71,True,16.97,True,Darvas box,16.99,0.47,,above,8,1.33,85.04,True
AAUC,,True,10,1.84,True,31.6,True,Darvas box,32.08,2.09,,below,8,2.1,84.53,True
CASY,,True,10,4.71,True,685.79,True,Darvas box,685.79,0.5,,below,8,1.28,74.95,True
RBC,,True,10,5.39,True,576.6,True,Darvas box,576.6,0.02,,below,8,1.35,72.99,True
TKR,,True,10,5.13,True,110.51,True,Darvas box,111.03,1.03,,below,8,1.31,71.26,True
FER,,True,10,5.2,True,74.79,True,Darvas box,74.79,0.96,,below,8,1.28,71.12,True
PSMT,,True,10,4.92,True,157.16,True,Darvas box,157.16,2.14,,below,8,1.31,68.98,True
HAL,,True,7,5.5,True,36.18,True,Darvas box,36.18,1.3,,below,8,1.51,68.6,True
WPM,,True,4,6.16,True,161.5,True,Darvas box,161.5,0.3,,below,8,1.56,68.3,True
SNEX,,True,10,6.42,True,131.0,True,Darvas box,131.0,0.03,,below,8,1.22,67.81,True
JNJ,,True,10,3.57,True,247.25,True,Darvas box,247.25,1.53,,above,8,1.3,67.56,True
NEOG,,True,9,6.04,True,11.43,True,Darvas box,11.43,0.96,,below,8,1.84,66.92,True
SU,,True,10,4.97,True,57.13,True,Darvas box,57.13,2.85,,below,8,1.26,66.6,True
VLO,,True,10,5.9,True,206.77,True,Darvas box,206.77,1.44,,below,8,1.28,66.18,True
PH,,True,10,5.74,True,1034.96,True,Darvas box,1034.96,1.93,,below,8,1.24,65.51,True
AIR,,True,10,6.37,True,119.24,True,Darvas box,119.24,0.9,,below,8,1.45,65.45,True
FNV,,True,4,6.85,True,281.26,True,Darvas box,281.26,0.15,,below,8,1.41,65.3,True
NGG,,True,10,4.73,True,94.06,True,Darvas box,94.06,0.36,,above,8,1.24,65.27,True
CNTA,,True,3,6.93,True,27.56,True,Cup completion cheat,26.83,0.23,,below,8,1.5,64.66,True
JCI,,True,10,5.88,True,146.49,True,Darvas box,146.49,2.1,,below,8,1.22,64.3,True
NGS,,True,9,6.77,True,38.64,True,Darvas box,38.64,0.62,,below,8,1.38,64.29,True
GVA,,True,10,6.84,True,137.2,True,Darvas box,137.2,0.81,,below,8,1.16,63.37,True
FCFS,,True,10,7.47,True,189.9,True,Darvas box,189.9,0.33,,below,8,1.19,61.66,True
VAL,,True,3,6.54,True,97.37,True,Power Play,96.4,1.92,,below,8,1.79,61.54,True
CAH,,True,10,6.86,True,229.5,True,Darvas box,230.81,1.59,,below,8,1.43,60.93,True
SLB,,True,10,6.79,True,52.4,True,Darvas box,52.4,1.74,,below,8,1.36,60.83,True
TIMB,,True,10,7.17,True,27.56,True,Darvas box,27.74,1.3,,below,8,1.2,60.25,True
NVS,,True,10,5.09,True,168.02,True,Darvas box,168.02,1.49,,above,8,1.22,60.08,True
DG,,True,10,7.77,True,158.23,True,Cup completion cheat,154.75,0.48,,below,8,1.31,59.71,True
CW,,True,9,6.68,True,719.05,True,Darvas box,719.05,2.37,,below,8,1.34,59.49,True
SBS,,True,10,7.44,True,30.63,True,Darvas box,30.63,1.11,,below,8,1.27,59.47,True
TDY,,True,10,7.05,True,691.87,True,Darvas box,691.87,1.89,,below,8,1.17,59.08,True
WAB,,True,10,5.56,True,266.27,True,Darvas box,266.27,1.07,,above,8,1.26,58.99,True
FDX,,True,10,7.55,True,391.99,True,Darvas box,391.99,1.1,,below,8,1.58,58.95,True
FCX,,True,3,7.08,True,69.75,True,Darvas box,69.75,1.96,,below,8,1.46,58.72,True
FSM,,True,3,7.51,True,13.84,True,Darvas box,13.84,1.59,,below,8,1.68,57.68,True
HROW,,True,4,7.55,True,54.44,True,Cup completion cheat,54.85,1.57,,below,8,1.3,57.54,True
HII,,True,7,7.56,True,451.86,True,Darvas box,451.86,1.96,,below,8,1.51,56.32,True
RIO,,True,10,7.33,True,101.53,True,Darvas box,101.53,2.4,,below,8,1.49,56.15,True
SCCO,,True,3,7.41,True,220.76,True,Darvas box,220.76,2.29,,below,8,2.15,56.08,True
MOV,,True,10,7.93,True,25.85,True,Darvas box,25.85,1.55,,below,8,1.4,55.7,True
NVT,,True,3,6.5,True,122.92,True,Darvas box,122.92,0.92,,above,8,1.25,54.74,True
E,,True,10,6.82,True,45.72,True,Darvas box,45.72,0.39,,above,8,1.2,54.73,True
ULTA,,True,10,7.69,True,714.97,True,Darvas box,714.97,2.71,,below,8,1.22,53.42,True
MNST,,True,10,7.24,True,86.8,True,Darvas box,86.8,0.16,,above,8,1.31,53.32,True
DAR,,True,9,6.52,True,53.71,True,Darvas box,53.71,1.42,,above,8,1.43,53.14,True
TSM,,True,5,7.97,True,390.21,True,Darvas box,380.0,2.49,,below,8,1.48,52.68,True
ATI,,True,5,7.49,True,164.26,True,Darvas box,158.99,0.08,,above,8,1.99,52.31,True
WFRD,,True,10,7.96,True,108.14,True,Darvas box,108.14,2.98,,below,8,1.55,51.26,True
PKBK,,True,10,6.24,True,29.33,True,Darvas box,29.5,2.54,,above,8,1.2,51.18,True
SFST,,True,10,6.5,True,62.0,True,Darvas box,62.0,2.24,,above,8,1.25,50.78,True
ESLT,,True,5,7.06,True,775.99,True,Darvas box,775.99,1.38,,above,8,1.47,50.56,True
TRGP,,True,10,7.09,True,234.41,True,Darvas box,234.41,1.36,,above,8,1.32,50.47,True
TFPM,,True,4,6.79,False,40.5,True,Darvas box,40.5,0.22,,below,8,1.43,50.39,True
VIV,,True,10,7.77,True,16.62,True,Darvas box,16.62,0.33,,above,8,1.23,50.16,True
EIX,,True,8,7.87,True,75.5,True,Cup w/ handle,73.9,0.22,,above,8,1.29,49.99,True
JOUT,,True,9,7.6,True,51.65,True,Darvas box,51.65,0.96,,above,8,1.18,49.12,True
MYE,,True,10,7.3,True,23.14,True,Darvas box,23.14,2.12,,above,8,1.27,47.14,True
KNX,,True,9,6.77,False,62.63,True,Darvas box,62.63,1.48,,below,8,1.31,46.71,True
TD,,True,10,5.4,False,99.29,True,Darvas box,99.29,0.51,,above,8,1.21,46.47,True
AMAT,,True,5,7.5,False,395.95,True,Cup w/ handle,377.11,0.46,,below,8,2.14,46.12,True
DLX,,True,7,7.91,False,28.56,True,Darvas box,28.56,0.32,,below,8,1.38,44.49,True
SKE,,True,4,7.83,False,37.53,True,Darvas box,37.53,0.48,,below,8,2.21,44.41,True
TPR,,True,10,7.61,False,161.97,True,Darvas box,161.97,0.91,,below,8,1.49,44.22,True
OSK,,True,8,6.76,False,180.0,True,Cup w/ handle,179.89,2.43,,below,8,1.13,43.91,True
VSCO,,True,3,7.29,False,65.8,True,Cup completion cheat,66.89,1.7,,below,8,2.69,43.45,True
JBHT,,True,9,6.67,False,231.53,True,Darvas box,234.82,2.81,,below,8,1.47,43.22,True
ELVN,,True,3,7.25,False,29.78,True,Darvas box,30.22,1.99,,below,8,1.34,42.78,True
OR,,True,4,7.68,False,47.12,True,Darvas box,47.75,1.55,,below,8,1.41,41.95,True
BCO,,True,10,7.26,False,136.1,True,Darvas box,136.1,0.38,,above,8,1.13,37.56,True
GSL,,True,8,7.66,False,40.66,True,Darvas box,40.66,0.61,,above,8,1.3,34.87,True
CMRE,,True,9,7.78,False,17.62,True,Darvas box,17.62,0.74,,above,8,1.39,33.88,True
NYT,,True,7,7.88,False,79.41,True,Darvas box,79.41,0.71,,above,8,1.24,33.47,True
SAN,,True,7,7.1,False,13.24,True,Darvas box,13.24,2.27,,above,8,1.29,32.69,True
