symbol,name,pivot_forming,pivot_days,pivot_range_pct,tight_closes,pivot_high,in_base,base_type,resistance,distance_pct,buy_point_date,volume_at_pivot,trend_template_score,rs_ratio,quality_score,buyable
FOLD,,True,10,0.49,True,14.37,True,Cup completion cheat,14.38,0.35,,below,8,1.75,96.5,True
EXAS,,True,10,0.51,True,103.67,True,Darvas box,103.67,0.41,,below,8,2.06,96.22,True
DBRG,,True,10,0.78,True,15.47,True,Cup w/ handle,15.47,0.39,,below,8,1.26,94.93,True
PKST,,True,10,1.38,True,20.97,True,Darvas box,20.97,0.52,,below,8,1.57,91.54,True
RAPT,,True,10,0.47,True,57.98,True,Darvas box,57.98,0.03,,above,8,4.64,87.56,True
FRGE,,True,10,0.88,True,44.85,True,Cup completion cheat,44.88,0.16,,above,8,2.22,85.12,True
GLDD,,True,10,0.71,True,16.97,True,Darvas box,16.99,0.47,,above,8,1.33,85.04,True
AAUC,,True,10,1.84,True,31.6,True,Darvas box,32.08,2.09,,below,8,2.1,84.53,True
CFLT,,True,10,0.78,True,30.76,True,Cup completion cheat,30.62,0.0,2026-02-20,below,8,1.52,81.1,False
CASY,,True,10,4.71,True,685.79,True,Darvas box,685.79,0.5,,below,8,1.28,74.95,True
RBC,,True,10,5.39,True,576.6,True,Darvas box,576.6,0.02,,below,8,1.35,72.99,True
VOD,,True,10,3.68,True,15.91,True,Darvas box,15.91,3.21,,below,8,1.22,71.97,False
TKR,,True,10,5.13,True,110.51,True,Darvas box,111.03,1.03,,below,8,1.31,71.26,True
FER,,True,10,5.2,True,74.79,True,Darvas box,74.79,0.96,,below,8,1.28,71.12,True
PSMT,,True,10,4.92,True,157.16,True,Darvas box,157.16,2.14,,below,8,1.31,68.98,True
HAL,,True,7,5.5,True,36.18,True,Darvas box,36.18,1.3,,below,8,1.51,68.6,True
WPM,,True,4,6.16,True,161.5,True,Darvas box,161.5,0.3,,below,8,1.56,68.3,True
SNEX,,True,10,6.42,True,131.0,True,Darvas box,131.0,0.03,,below,8,1.22,67.81,True
JNJ,,True,10,3.57,True,247.25,True,Darvas box,247.25,1.53,,above,8,1.3,67.56,True
NEOG,,True,9,6.04,True,11.43,True,Darvas box,11.43,0.96,,below,8,1.84,66.92,True
SU,,True,10,4.97,True,57.13,True,Darvas box,57.13,2.85,,below,8,1.26,66.6,True
VLO,,True,10,5.9,True,206.77,True,Darvas box,206.77,1.44,,below,8,1.28,66.18,True
AZN,,True,10,4.99,True,210.52,True,Darvas box,210.52,3.1,,below,8,1.2,65.75,False
PH,,True,10,5.74,True,1034.96,True,Darvas box,1034.96,1.93,,below,8,1.24,65.51,True
AIR,,True,10,6.37,True,119.24,True,Darvas box,119.24,0.9,,below,8,1.45,65.45,True
RGLD,,True,4,4.61,True,294.68,True,Darvas box,306.25,3.88,,below,8,1.56,65.31,False
FNV,,True,4,6.85,True,281.26,True,Darvas box,281.26,0.15,,below,8,1.41,65.3,True
NGG,,True,10,4.73,True,94.06,True,Darvas box,94.06,0.36,,above,8,1.24,65.27,True
KNOP,,True,10,3.95,True,10.62,True,Darvas box,11.15,6.91,,below,7,1.29,65.25,False
AES,,True,10,5.1,True,16.78,True,Darvas box,16.78,3.16,,below,8,1.16,65.02,False
CNTA,,True,3,6.93,True,27.56,True,Cup completion cheat,26.83,0.23,,below,8,1.5,64.66,True
JCI,,True,10,5.88,True,146.49,True,Darvas box,146.49,2.1,,below,8,1.22,64.3,True
NGS,,True,9,6.77,True,38.64,True,Darvas box,38.64,0.62,,below,8,1.38,64.29,True
GVA,,True,10,6.84,True,137.2,True,Darvas box,137.2,0.81,,below,8,1.16,63.37,True
PTGX,,True,3,4.45,True,89.59,True,Cup completion cheat,96.54,8.44,,below,8,1.34,62.75,False
CMI,,True,10,4.81,True,607.55,True,Darvas box,615.91,4.51,,below,8,1.38,62.42,False
BG,,True,10,5.08,True,124.55,True,Darvas box,124.55,4.12,,below,8,1.33,62.24,False
AHR,,True,10,4.56,True,53.53,True,Cup completion cheat,50.75,0.0,2026-02-13,below,8,1.17,62.2,False
FCFS,,True,10,7.47,True,189.9,True,Darvas box,189.9,0.33,,below,8,1.19,61.66,True
VAL,,True,3,6.54,True,97.37,True,Power Play,96.4,1.92,,below,8,1.79,61.54,True
CAH,,True,10,6.86,True,229.5,True,Darvas box,230.81,1.59,,below,8,1.43,60.93,True
SLB,,True,10,6.79,True,52.4,True,Darvas box,52.4,1.74,,below,8,1.36,60.83,True
WBD,,True,10,5.45,True,29.2,True,Cup completion cheat,30.0,4.0,,below,8,2.21,60.75,False
TIMB,,True,10,7.17,True,27.56,True,Darvas box,27.74,1.3,,below,8,1.2,60.25,True
NVS,,True,10,5.09,True,168.02,True,Darvas box,168.02,1.49,,above,8,1.22,60.08,True
DG,,True,10,7.77,True,158.23,True,Cup completion cheat,154.75,0.48,,below,8,1.31,59.71,True
SATS,,True,4,5.08,True,110.23,True,Low cheat,132.25,18.06,,below,7,1.72,59.6,False
CW,,True,9,6.68,True,719.05,True,Darvas box,719.05,2.37,,below,8,1.34,59.49,True
SBS,,True,10,7.44,True,30.63,True,Darvas box,30.63,1.11,,below,8,1.27,59.47,True
TDY,,True,10,7.05,True,691.87,True,Darvas box,691.87,1.89,,below,8,1.17,59.08,True
WAB,,True,10,5.56,True,266.27,True,Darvas box,266.27,1.07,,above,8,1.26,58.99,True
FDX,,True,10,7.55,True,391.99,True,Darvas box,391.99,1.1,,below,8,1.58,58.95,True
FCX,,True,3,7.08,True,69.75,True,Darvas box,69.75,1.96,,below,8,1.46,58.72,True
CNQ,,True,7,5.4,True,43.16,True,Cup completion cheat,35.12,0.0,2026-01-23,below,8,1.28,58.0,False
B,,True,4,5.42,True,50.57,True,Darvas box,54.69,7.94,,below,8,1.79,57.9,False
ACNT,,True,10,6.25,True,17.92,True,Darvas box,17.92,3.66,,below,8,1.34,57.77,False
FSM,,True,3,7.51,True,13.84,True,Darvas box,13.84,1.59,,below,8,1.68,57.68,True
HROW,,True,4,7.55,True,54.44,True,Cup completion cheat,54.85,1.57,,below,8,1.3,57.54,True
ATNI,,True,9,5.75,True,29.41,True,Darvas box,29.8,4.93,,below,8,1.7,56.46,False
HII,,True,7,7.56,True,451.86,True,Darvas box,451.86,1.96,,below,8,1.51,56.32,True
LUV,,True,5,5.74,True,52.41,True,Darvas box,55.11,7.58,,below,8,1.45,56.3,False
RIO,,True,10,7.33,True,101.53,True,Darvas box,101.53,2.4,,below,8,1.49,56.15,True
STLD,,True,9,5.78,True,196.35,True,Darvas box,208.47,7.65,,below,8,1.36,56.1,False
SCCO,,True,3,7.41,True,220.76,True,Darvas box,220.76,2.29,,below,8,2.15,56.08,True
HAS,,True,9,5.8,True,102.85,True,Darvas box,106.25,5.54,,below,8,1.17,56.0,False
MOV,,True,10,7.93,True,25.85,True,Darvas box,25.85,1.55,,below,8,1.4,55.7,True
WWD,,True,10,6.67,True,399.08,True,Darvas box,402.98,3.78,,below,8,1.45,55.31,False
TRVI,,True,3,5.96,True,11.74,True,Cup completion cheat,13.22,12.86,,below,8,1.34,55.2,False
PHVS,,True,5,7.0,True,28.99,True,Darvas box,28.99,3.41,,below,8,1.1,54.77,False
NVT,,True,3,6.5,True,122.92,True,Darvas box,122.92,0.92,,above,8,1.25,54.74,True
E,,True,10,6.82,True,45.72,True,Darvas box,45.72,0.39,,above,8,1.2,54.73,True
HLIO,,True,10,6.44,True,76.16,True,Darvas box,76.16,4.42,,below,8,1.25,54.54,False
MT,,True,7,6.12,True,67.6,True,Cup completion cheat,46.49,0.0,2026-01-02,below,8,1.89,54.4,False
NATR,,True,6,6.15,True,27.95,True,Cup completion cheat,24.12,0.0,2026-01-23,below,8,1.52,54.25,False
TEVA,,True,10,6.17,True,35.32,True,Darvas box,37.35,9.59,,below,8,1.75,54.15,False
CX,,True,10,6.52,True,13.04,True,Darvas box,13.35,4.42,,below,8,1.33,54.14,False
NGL,,True,10,6.19,True,12.28,True,Darvas box,13.0,7.46,,below,8,2.21,54.05,False
DNTH,,True,3,6.2,True,54.37,True,Darvas box,57.5,7.63,,below,8,2.04,54.0,False
BTSG,,True,8,7.39,True,41.4,True,Darvas box,41.4,3.07,,below,8,1.56,53.84,False
GXO,,True,9,6.25,True,66.35,True,Darvas box,66.85,5.0,,below,8,1.11,53.75,False
ULTA,,True,10,7.69,True,714.97,True,Darvas box,714.97,2.71,,below,8,1.22,53.42,True
MNST,,True,10,7.24,True,86.8,True,Darvas box,86.8,0.16,,above,8,1.31,53.32,True
HE,,True,6,6.36,True,16.2,True,Darvas box,17.38,10.82,,below,8,1.15,53.2,False
DAR,,True,9,6.52,True,53.71,True,Darvas box,53.71,1.42,,above,8,1.43,53.14,True
HWM,,True,9,6.43,True,261.83,True,Cup completion cheat,226.74,0.0,2026-02-13,below,8,1.38,52.85,False
TSM,,True,5,7.97,True,390.21,True,Darvas box,380.0,2.49,,below,8,1.48,52.68,True
ATI,,True,5,7.49,True,164.26,True,Darvas box,158.99,0.08,,above,8,1.99,52.31,True
GM,,True,10,6.54,True,83.93,True,Darvas box,87.62,7.8,,below,7,1.29,52.3,False
GE,,True,7,6.57,True,348.48,True,Cup completion cheat,332.79,0.0,2026-02-20,below,8,1.17,52.15,False
